Location of death (city),State,Latitude,Longitude,Agency or agencies involved,Highest level of force
San Diego,CA,32.711528,-117.10762,San Diego Police Department,Vehicle
Anderson,CA,40.4890583,-122.35773,Anderson Police Department,Vehicle
Murrieta,CA,33.5559559,-117.20475,Murrieta Police Department,Vehicle
Moorpark,CA,34.2833387,-118.86047,"California Highway Patrol, Ventura County Sheriff's Office",Vehicle
Newport Beach,CA,33.621356,-117.92562,Huntington Beach Police Department,Vehicle
Tracy,CA,37.763195,-121.43791,California Highway Patrol,Vehicle
Tracy,CA,37.763195,-121.43791,California Highway Patrol,Vehicle
Tracy,CA,37.763195,-121.43791,California Highway Patrol,Vehicle
Tracy,CA,37.763195,-121.43791,California Highway Patrol,Vehicle
Moreno Valley,CA,33.8811006,-117.23484,Riverside County Sheriff's Department,Vehicle
Lancaster,CA,34.6821642,-118.14795,Los Angeles County Sheriff's Department,Vehicle
Fresno,CA,36.7316957,-119.79811,Fresno Police Department,Vehicle
Dana Point,CA,33.4706746,-117.71328,Alpharetta Police Department,Vehicle
San Francisco,CA,37.7127341,-122.43198,San Francisco Police Department,Vehicle
Red Bluff,CA,39.9555016,-122.35553,"Red Bluff Police Department, Tehama County Sheriff's Office",Vehicle
Santa Rosa,CA,38.4181657,-122.71316,Santa Rosa Police Department,Vehicle
Oroville,CA,39.5814238,-121.68878,California Highway Patrol,Vehicle
Garden Grove,CA,33.7884687,-117.97533,Orange County Sheriff's Office,Vehicle
Garden Grove,CA,33.7884687,-117.97533,Orange County Sheriff's Office,Vehicle
Torrance,CA,33.8583952,-118.32785,Los Angeles County Sheriff's Department,Vehicle
San Bernardino,CA,34.108314,-117.32772,San Bernardino Police Department,Vehicle
San Bernardino,CA,34.108314,-117.32772,San Bernardino Police Department,Vehicle
Red Bluff,CA,40.1942814,-122.2388,California Highway Patrol,Vehicle
Palmdale,CA,34.557522,-118.10601,Los Angeles County Sheriff's Department,Vehicle
Los Angeles,CA,33.9858795,-118.30024,Los Angeles Police Department,Vehicle
Vacaville,CA,38.3355797,-121.98521,California Highway Patrol,Vehicle
Vacaville,CA,38.3355797,-121.98521,California Highway Patrol,Vehicle
Tulare,CA,36.2119997,-119.35572,Visalia Police Department,Vehicle
Long Beach,CA,33.7950264,-118.19809,Long Beach Police Department,Vehicle
Crockett,CA,38.0552532,-122.22692,California Highway Patrol,Vehicle
Fresno,CA,36.7577101,-119.78152,Fresno Police Department,Vehicle
Fresno,CA,36.7721345,-119.80862,Fresno Police Department,Vehicle
