Location of death (city),State,Latitude,Longitude,Agency or agencies involved,Highest level of force
Fremont,CA,37.5707765,-122.03242,Fremont Police Department,Vehicle
Stockton,CA,37.974532,-121.26069,California Highway Patrol,Vehicle
Claremont,CA,34.0813965,-117.71983,Montclair Police Department,Vehicle
San Leandro,CA,37.7261083,-122.15667,San Leandro Police Department,Vehicle
Arcata,CA,40.849052,-124.16537,Humboldt County Sheriff's Office,Vehicle
Oakland,CA,37.739175,-122.17977,"California Highway Patrol, Oakland Police Department",Vehicle
Nevada City,CA,39.2759321,-121.00445,Nevada City Police Department,Vehicle
Vallejo,CA,38.092759,-122.23152,Vallejo Police Department,Vehicle
Escalon,CA,37.8563854,-121.05396,San Joaquin County Sheriff's Office,Vehicle
French Camp,CA,37.8702009,-121.27865,Stockton Police Department,Vehicle
Anaheim,CA,33.8520823,-117.84413,Anaheim Police Department,Vehicle
Anaheim,CA,33.8520823,-117.84413,Anaheim Police Department,Vehicle
Salinas,CA,36.674392,-121.6467,Salinas Police Department,Vehicle
Highland,CA,34.1053815,-117.18264,Redlands Police Department,Vehicle
Rocklin,CA,38.770052,-121.24847,Sacramento Police Department,Vehicle
Covina,CA,34.1069977,-117.91442,Los Angeles County Sheriff's Department,Vehicle
Palmdale,CA,34.572679,-118.09831,Los Angeles County Sheriff's Department,Vehicle
Palmdale,CA,34.572679,-118.09831,Los Angeles County Sheriff's Department,Vehicle
Compton,CA,33.8807308,-118.23654,Los Angeles County Sheriff's Department,Vehicle
Compton,CA,33.8807308,-118.23654,Los Angeles County Sheriff's Department,Vehicle
Compton,CA,33.8807308,-118.23654,Los Angeles County Sheriff's Department,Vehicle
Compton,CA,33.8807308,-118.23654,Los Angeles County Sheriff's Department,Vehicle
Morongo Valley,CA,34.043814,-116.58445,San Bernardino County Sheriff's Office,Vehicle
Topanga,CA,34.1437445,-118.61417,Los Angeles County Sheriff's Department,Vehicle
Long Beach,CA,33.789889,-118.22497,Long Beach Police Department,Vehicle
Oceanside,CA,33.3522131,-117.52402,Orange County Sheriff's Department,Vehicle
Merced,CA,37.3014199,-120.49431,Merced Police Department,Vehicle
El Cajon,CA,32.8173058,-116.95993,El Cajon Police Department,Vehicle
Riverside,CA,33.929976,-117.44383,Riverside Police Department,Vehicle
Riverside,CA,33.929976,-117.44383,Riverside Police Department,Vehicle
Fullerton,CA,33.8702252,-117.94085,Fullerton Police Department,Vehicle
Buena Park,CA,33.8590245,-117.99174,Buena Park Police Department,Vehicle
Lower Lake,CA,38.9059863,-122.67137,Lake County Sheriff's Office,Vehicle
San Diego,CA,32.6992213,-117.14375,San Diego Police Department,Vehicle
Clayton,CA,37.8937399,-121.79357,Contra Costa County Sheriff's Office,Vehicle
Oakland,CA,37.7680635,-122.17958,Oakland Police Department,Vehicle
Chino Hills,CA,34.0141463,-117.74245,San Bernardino County Sheriff's Office,Vehicle
San Jose,CA,37.3669389,-121.91367,California Highway Patrol,Vehicle
San Jose,CA,37.3669389,-121.91367,California Highway Patrol,Vehicle
Palo Cedro,CA,40.546954,-122.24597,Shasta County Sheriff's Office,Vehicle
Fresno,CA,36.7743416,-119.7932,Fresno Police Department,Vehicle
Oakland,CA,37.7765225,-122.21385,Alameda County Sheriff's Office,Vehicle
San Bernardino,CA,34.064264,-117.29656,San Bernardino County Sheriff's Office,Vehicle
Newbury Park,CA,34.1618412,-118.95695,California Highway Patrol,Vehicle
Hawthorne,CA,33.9156036,-118.33809,Hawthorne Police Department,Vehicle
Fresno,CA,36.6921264,-119.8445,Fresno County Sheriff's Office,Vehicle
San Juan Bautista,CA,36.859946,-121.59235,California Highway Patrol,Vehicle
Long Beach,CA,33.8175651,-118.07182,California Highway Patrol,Vehicle
Long Beach,CA,33.8175651,-118.07182,California Highway Patrol,Vehicle
Los Angeles,CA,34.0904291,-118.16472,Los Angeles Police Department,Vehicle
Santa Ana,CA,33.7000514,-117.87699,Santa Ana Police Department,Vehicle
Norco,CA,33.9384458,-117.53245,Riverside County Sheriff's Department,Vehicle
Soda Springs,CA,40.7269708,-98.669587,California Highway Patrol,Vehicle
Oakland,CA,37.7732276,-122.18801,California Highway Patrol,Vehicle
Hayward,CA,37.6830961,-122.0974,Alameda County Sheriff's Office,Vehicle
Bakersfield,CA,35.3707947,-118.94967,Kern County Sheriff's Office,Vehicle
Ocotillo,CA,32.6786631,-116.10082,U.S. Border Patrol,Vehicle
Ocotillo,CA,32.6786631,-116.10082,U.S. Border Patrol,Vehicle
Porterville,CA,36.0650939,-119.00824,Porterville Police Department,Vehicle
Porterville,CA,36.0650939,-119.00824,Porterville Police Department,Vehicle
Modesto,CA,37.7111901,-121.01274,California Highway Patrol,Vehicle
San Jose,CA,37.2572659,-121.80441,San Jose Police Department,Vehicle
Stockton,CA,38.0102069,-121.32085,California Highway Patrol,Vehicle
Stockton,CA,38.0102069,-121.32085,California Highway Patrol,Vehicle
Fresno,CA,36.823024,-119.73603,California Highway Patrol,Vehicle
Los Angeles,CA,34.0729026,-118.21883,,Vehicle
Bishop,CA,37.3380443,-118.42291,Los Angeles Police Department,Vehicle
Oakland,CA,37.7648601,-122.12959,"El Cerrito Police Department, California Highway Patrol",Vehicle
Sacramento,CA,38.611119,-121.43924,Sacramento Police Department,Vehicle
San Francisco,CA,37.7571758,-122.41675,San Francisco Police Department,Vehicle
San Francisco,CA,37.7571758,-122.41675,San Francisco Police Department,Vehicle
Oakland,CA,37.7531364,-122.15295,California Highway Patrol,Vehicle
Pasadena,CA,34.1525253,-118.14599,Pasadena Police Department,Vehicle
Pasadena,CA,34.1525253,-118.14599,Pasadena Police Department,Vehicle
Lancaster,CA,34.7042981,-118.14811,Los Angeles County Sheriff's Department,Vehicle
Oceanside,CA,33.2085111,-117.35918,California Highway Patrol,Vehicle
Palmdale,CA,34.5728824,-118.04508,Los Angeles County Sheriff's Department,Vehicle
Inglewood,CA,33.9388248,-118.33506,Los Angeles County Sheriff's Department,Vehicle
Victorville,CA,34.5657795,-117.34034,San Bernardino County Sheriff's Office,Vehicle
West Sacramento,CA,38.5788491,-121.5556,West Sacramento Police Department,Vehicle
Hemet,CA,33.7366549,-116.97159,Hemet Police Department,Vehicle
Hemet,CA,33.7366549,-116.97159,Hemet Police Department,Vehicle
Oakland,CA,37.8086682,-122.31218,California Highway Patrol,Vehicle
West Oakland,CA,37.828384,-122.27484,California Highway Patrol,Vehicle
Pomona,CA,34.0803227,-117.74061,Claremont Police Department,Vehicle
Los Angeles,CA,34.0492693,-118.21332,California Highway Patrol,Vehicle
Los Angeles,CA,34.0492693,-118.21332,California Highway Patrol,Vehicle
San Clemente,CA,33.4590162,-117.59231,Orange County Sheriff's Department,Vehicle
San Jose,CA,37.3503114,-121.85839,California Highway Patrol,Vehicle
Riverside,CA,33.9310938,-117.40099,Riverside Police Department,Vehicle
Eureka,CA,40.7793292,-124.18696,Eureka Police Department,Vehicle
Valley Center,CA,33.2224358,-117.03681,San Diego County Sheriff's Office,Vehicle
Joshua Tree,CA,34.1349828,-116.31075,San Bernardino County Sheriff's Office,Vehicle
Los Angeles,CA,34.0616361,-118.27957,Los Angeles Police Department,Vehicle
Woodland,CA,38.6598808,-121.77413,Woodland Police Department,Vehicle
Stockton,CA,37.9964229,-121.30546,Stockton Police Department,Vehicle
Newark,CA,37.520683,-122.00994,Newark Police Department,Vehicle
Newark,CA,37.520683,-122.00994,Newark Police Department,Vehicle
Livermore,CA,37.6759999,-121.77964,Livermore Police Department,Vehicle
Bakersfield,CA,35.4195334,-119.03164,Kern County Sheriff's Office,Vehicle
Bakersfield,CA,35.4195334,-119.03164,Kern County Sheriff's Office,Vehicle
San Bernardino,CA,34.1083418,-117.31383,California Highway Patrol,Vehicle
Pittsburg,CA,37.9980902,-121.89651,Pittsburg Police Department,Vehicle
Pittsburg,CA,37.9980902,-121.89651,Pittsburg Police Department,Vehicle
Concord,CA,37.9862207,-122.04066,Concord Police Department,Vehicle
Bakersfield,CA,35.3686201,-118.9975,Bakersfield Police Department,Vehicle
Fresno,CA,36.7951001,-119.86226,Fresno Police Department,Vehicle
Oakland,CA,37.7312571,-122.18709,"San Leandro Police Department, California Highway Patrol",Vehicle
Oakland,CA,37.7312571,-122.18709,"San Leandro Police Department, California Highway Patrol",Vehicle
Oakland,CA,37.7312571,-122.18709,"San Leandro Police Department, California Highway Patrol",Vehicle
East Palo Alto,CA,37.4717003,-122.13939,East Palo Alto Police Department,Vehicle
Elk Grove,CA,38.4228638,-121.30974,California Highway Patrol,Vehicle
Los Angeles,CA,34.0650016,-118.17283,California Highway Patrol,Vehicle
Roseville,CA,38.7791899,-121.26582,California Highway Patrol,Vehicle
Tustin,CA,33.7334447,-117.81547,Tustin Police Department,Vehicle
Manteca,CA,37.7981835,-121.19196,Manteca Police Department,Vehicle
El Dorado Hills,CA,38.708028,-121.08936,Folsom Police Department,Vehicle
Oakland,CA,37.7746215,-122.23264,California Highway Patrol,Vehicle
Oxnard,CA,34.2395819,-119.18269,Oxnard Police Department,Vehicle
Fresno,CA,36.7082506,-119.77623,California Highway Patrol,Vehicle
Alhambra,CA,34.0951527,-118.12681,Alhambra Police Department,Vehicle
San Jose,CA,37.3488669,-121.86318,Santa Clara County Sheriff's Office,Vehicle
East Palo Alto,CA,37.4543279,-122.12986,East Palo Alto Police Department,Vehicle
Stockton,CA,37.9667556,-121.32894,San Joaquin County Sheriff's Office,Vehicle
Indio,CA,33.7295958,-116.23372,,Vehicle
Torrance,CA,33.8254973,-118.35159,El Segundo Police Department,Vehicle
Inglewood,CA,33.9597751,-118.34392,Inglewood Police Department,Vehicle
Ventura,CA,34.264001,-119.24261,Ventura Police Department,Vehicle
Stockton,CA,37.9580834,-121.30102,Stockton Police Department,Vehicle
Castro Valley,CA,37.6926734,-122.07395,Alameda County Sheriff's Office,Vehicle
Visalia,CA,36.2982306,-119.34948,Tulare County Sheriff's Office,Vehicle
Visalia,CA,36.2982306,-119.34948,Tulare County Sheriff's Office,Vehicle
Visalia,CA,36.2982306,-119.34948,Tulare County Sheriff's Office,Vehicle
Santa Margarita,CA,35.3835509,-120.6292,"Pismo Beach Police Department, Grover Beach Police Department",Vehicle
San Jacinto,CA,33.7836713,-116.9201,Beaumont Police Department,Vehicle
Willits,CA,39.5107992,-123.38598,"Mendocino County Sheriff's Office, Willits Police Department, California Highway Patrol",Vehicle
Compton,CA,33.9034796,-118.1881,Long Beach Police Department,Vehicle
Coronado,CA,32.6756721,-117.17063,San Diego County Sheriff's Office,Vehicle
Coronado,CA,32.6756721,-117.17063,San Diego County Sheriff's Office,Vehicle
San Carlos,CA,37.5109318,-122.25315,California Highway Patrol,Vehicle
Orinda,CA,37.8885686,-122.19476,Contra Costa County Sheriff's Office,Vehicle
Fremont,CA,37.5190489,-121.95512,Fremont Police Department,Vehicle
Fremont,CA,37.5190489,-121.95512,Fremont Police Department,Vehicle
San Bernardino,CA,34.1343508,-117.3077,San Bernardino Police Department,Vehicle
Los Angeles,CA,33.9745338,-118.3309,Los Angeles Police Department,Vehicle
Los Angeles,CA,33.9745338,-118.3309,Los Angeles Police Department,Vehicle
Desert Hot Springs,CA,33.9578049,-116.50132,Desert Hot Springs Police Department,Vehicle
Berkeley,CA,37.8711779,-122.30473,Oakland Police Department,Vehicle
Fontana,CA,34.0472167,-117.51888,Fontana Police Department,Vehicle
Carmichael,CA,38.6679805,-121.32728,California Highway Patrol,Vehicle
Riverside,CA,34.004846,-117.34928,Riverside Police Department,Vehicle
Vallejo,CA,38.0968341,-122.19821,California Parks & Recreation,Vehicle
Oakland,CA,37.7429613,-122.15249,California Highway Patrol,Vehicle
Oakland,CA,37.7429613,-122.15249,California Highway Patrol,Vehicle
Pixley,CA,35.9641843,-119.3577,Tulare Police Department,Vehicle
North Highlands,CA,38.6812821,-121.37279,Sacramento County Sheriff's Office,Vehicle
San Jose,CA,37.3416438,-121.88743,California Highway Patrol,Vehicle
San Jose,CA,37.3416438,-121.88743,California Highway Patrol,Vehicle
Roseville,CA,38.7843717,-121.33309,Roseville Police Department,Vehicle
Seaside,CA,36.6239161,-121.84126,Marina Police Department,Vehicle
Glendale,CA,34.1696008,-118.22913,Glendale Police Department,Vehicle
San Jose,CA,37.338885,-121.87969,California Highway Patrol,Vehicle
Upland,CA,34.1214816,-117.6809,Claremont Police Department,Vehicle
Richmond,CA,37.9741954,-122.3652,Richmond Police Department,Vehicle
Baldwin Park,CA,34.0796543,-117.98909,Baldwin Park Police Department,Vehicle
Los Angeles,CA,34.3012121,-118.41177,Los Angeles Police Department,Vehicle
East Compton,CA,33.9035715,-118.19396,South Gate Police Department,Vehicle
East Compton,CA,33.9035715,-118.19396,South Gate Police Department,Vehicle
Oakland,CA,37.7611229,-122.1911,California Highway Patrol,Vehicle
Sylmar,CA,34.3035717,-118.44449,Los Angeles Police Department,Vehicle
Salinas,CA,36.6626394,-121.65777,"California Highway Patrol, Monterey County Sheriff's Office",Vehicle
San Bernardino,CA,34.136022,-117.30304,San Bernardino Police Department,Vehicle
Los Angeles,CA,34.0177483,-118.25537,Los Angeles Police Department,Vehicle
Los Angeles,CA,34.0177483,-118.25537,Los Angeles Police Department,Vehicle
Ontario,CA,34.0703901,-117.68945,Ontario Police Department,Vehicle
Ontario,CA,34.0703901,-117.68945,Ontario Police Department,Vehicle
Holtville,CA,32.730335,-115.46506,U.S. Immigration and Customs Enforcement,Vehicle
Holtville,CA,32.730335,-115.46506,U.S. Immigration and Customs Enforcement,Vehicle
Holtville,CA,32.730335,-115.46506,U.S. Immigration and Customs Enforcement,Vehicle
Hayward,CA,37.6751733,-122.08203,Alameda County Sheriff's Office,Vehicle
Hayward,CA,37.6751733,-122.08203,Alameda County Sheriff's Office,Vehicle
Hayward,CA,37.6751733,-122.08203,Alameda County Sheriff's Office,Vehicle
Fresno,CA,36.881244,-119.73883,California Highway Patrol,Vehicle
Visalia,CA,36.3276112,-119.33167,Visalia Police Department,Vehicle
Goleta,CA,34.434747,-119.86965,Santa Barbara County Sheriff's Office,Vehicle
Goleta,CA,34.434747,-119.86965,Santa Barbara County Sheriff's Office,Vehicle
Venice,CA,33.9957663,-118.44916,Los Angeles Police Department,Vehicle
Woodland Hills,CA,34.1684453,-118.60381,California Highway Patrol,Vehicle
Oakland,CA,37.8102645,-122.27782,Oakland Police Department,Vehicle
Castro Valley,CA,37.6842702,-122.07347,Alameda County Sheriff's Office,Vehicle
Apple Valley,CA,34.4685092,-117.20372,California Highway Patrol,Vehicle
Los Angeles,CA,33.9709148,-118.30901,"Hawthorne Police Department, Gardena Police Department",Vehicle
San Bernardino,CA,34.1305078,-117.30089,San Bernardino Police Department,Vehicle
Orosi,CA,36.559671,-119.3053,Dinuba Police Department,Vehicle
Orosi,CA,36.559671,-119.3053,Dinuba Police Department,Vehicle
Orosi,CA,36.559671,-119.3053,Dinuba Police Department,Vehicle
Orosi,CA,36.559671,-119.3053,Dinuba Police Department,Vehicle
Orosi,CA,36.559671,-119.3053,Dinuba Police Department,Vehicle
Orosi,CA,36.559671,-119.3053,Dinuba Police Department,Vehicle
Orosi,CA,36.559671,-119.3053,Dinuba Police Department,Vehicle
Orosi,CA,36.559671,-119.3053,Dinuba Police Department,Vehicle
Sacramento,CA,38.7037118,-121.34594,Citrus Heights Police Department,Vehicle
Anaheim,CA,33.8395445,-117.97606,Anaheim Police Department,Vehicle
Rancho Mirage,CA,33.7576933,-116.43553,Cathedral City Police Department,Vehicle
San Jose,CA,37.3909063,-121.87915,California Highway Patrol,Vehicle
Oakland,CA,37.8412573,-122.26974,Oakland Police Department,Vehicle
Oakland,CA,37.840788,-122.26945,Oakland Police Department,Vehicle
Phelan,CA,34.4466883,-117.53868,Riverside County Sheriff's Department,Vehicle
Bonsall,CA,33.2812379,-117.2263,California Highway Patrol,Vehicle
North Highlands,CA,38.6611466,-121.37367,"California Highway Patrol, Sacramento County Sheriff's Office",Vehicle
La Habra,CA,33.9318603,-117.94613,La Habra Police Department,Vehicle
La Habra,CA,33.9318603,-117.94613,La Habra Police Department,Vehicle
Rialto,CA,34.1067736,-117.37047,San Bernardino County Sheriff's Office,Vehicle
San Rafael,CA,37.9762014,-122.47933,San Rafael Police Department,Vehicle
Anaheim,CA,33.8249575,-117.97089,Anaheim Police Department,Vehicle
Fontana,CA,34.1188736,-117.41841,California Highway Patrol,Vehicle
Fontana,CA,34.1188736,-117.41841,California Highway Patrol,Vehicle
Fontana,CA,34.1188736,-117.41841,California Highway Patrol,Vehicle
Los Angeles,CA,34.0301989,-118.38996,Culver City Police Department,Vehicle
Los Angeles,CA,34.0301989,-118.38996,Culver City Police Department,Vehicle
Ontario,CA,34.0771443,-117.54494,California Highway Patrol,Vehicle
Vacaville,CA,38.34507,-121.99693,California Highway Patrol,Vehicle
Oakland,CA,37.8273555,-122.29252,Oakland Police Department,Vehicle
Long Beach,CA,33.7717061,-118.15241,Long Beach Police Department,Vehicle
Los Angeles,CA,34.0046236,-118.34737,Los Angeles Police Department,Vehicle
Los Angeles,CA,34.0394967,-118.26565,Los Angeles Police Department,Vehicle
El Sobrante,CA,37.9652891,-122.29957,Richmond Police Department,Vehicle
Oakley,CA,37.9832794,-121.7163,Oakley Police Department,Vehicle
Fontana,CA,34.1808236,-117.43643,Upland Police Department,Vehicle
Fontana,CA,34.1808236,-117.43643,Upland Police Department,Vehicle
Los Angeles,CA,34.0719169,-118.21169,Los Angeles Police Department,Vehicle
Kingsburg,CA,36.5129953,-119.55522,California Highway Patrol,Vehicle
Pinole,CA,37.98228,-122.27312,Contra Costa County Sheriff's Office,Vehicle
Highland,CA,34.1156325,-117.21079,San Bernardino County Sheriff's Office,Vehicle
Los Angeles,CA,34.1014635,-118.33094,Los Angeles Police Department,Vehicle
Los Angeles,CA,34.1014635,-118.33094,Los Angeles Police Department,Vehicle
Hacienda Heights,CA,34.0081063,-117.96758,Los Angeles Police Department,Vehicle
Hacienda Heights,CA,34.0081063,-117.96758,Los Angeles Police Department,Vehicle
San Bernardino,CA,34.147472,-117.24561,San Bernardino County Sheriff's Office,Vehicle
San Bernardino,CA,34.147472,-117.24561,San Bernardino County Sheriff's Office,Vehicle
Bakersfield,CA,35.3062159,-118.91438,Kern County Sheriff's Office,Vehicle
Calexico,CA,32.6790197,-115.67144,U.S. Border Patrol,Vehicle
San Francisco,CA,37.7678312,-122.4797,San Francisco Police Department,Vehicle
Sacramento,CA,38.6458588,-121.52817,Sacramento Police Department,Vehicle
Hayward,CA,37.6341899,-122.11175,Hayward Police Department,Vehicle
Cupertino,CA,37.2954924,-122.08427,Santa Clara County Sheriff's Office,Vehicle
Cupertino,CA,37.2954924,-122.08427,Santa Clara County Sheriff's Office,Vehicle
Fontana,CA,34.0382492,-117.46356,"Fontana Police Department, California Highway Patrol",Vehicle
Burbank,CA,34.1543668,-118.34501,Glendale Police Department,Vehicle
Goleta,CA,34.4353596,-119.83106,California Highway Patrol,Vehicle
San Francisco,CA,37.772205,-122.43731,San Francisco Police Department,Vehicle
San Francisco,CA,37.772205,-122.43731,San Francisco Police Department,Vehicle
Modesto,CA,37.7111093,-120.97664,Stanislaus County Sheriff's Office,Vehicle
Modesto,CA,37.7111093,-120.97664,Stanislaus County Sheriff's Office,Vehicle
Modesto,CA,37.7111093,-120.97664,Stanislaus County Sheriff's Office,Vehicle
Temple City,CA,34.1036744,-118.07362,San Gabriel Police Department,Vehicle
Fresno,CA,36.8585334,-119.77796,Fresno Police Department,Vehicle
Rosemead,CA,34.0696612,-118.0906,California Highway Patrol,Vehicle
Visalia,CA,36.3994012,-119.18862,Tulare County Sheriff's Office,Vehicle
Visalia,CA,36.3973599,-119.39382,Tulare County Sheriff's Office,Vehicle
Visalia,CA,36.3973599,-119.39382,Tulare County Sheriff's Office,Vehicle
East Palo Alto,CA,37.4717003,-122.13939,East Palo Alto Police Department,Vehicle
San Bernardino,CA,34.0995665,-117.33991,Rialto Police Department,Vehicle
Santee,CA,32.8469209,-117.02237,U.S. Border Patrol,Vehicle
Santee,CA,32.8469209,-117.02237,U.S. Border Patrol,Vehicle
National City,CA,32.6768697,-117.08704,National City Police Department,Vehicle
Los Angeles,CA,33.9454975,-118.2916,Los Angeles County Sheriff's Department,Vehicle
Ocotillo Wells,CA,33.1425617,-116.12148,U.S. Customs and Border Protection,Vehicle
Ocotillo Wells,CA,33.1425617,-116.12148,U.S. Customs and Border Protection,Vehicle
San Francisco,CA,37.7312414,-122.38776,San Francisco Police Department,Vehicle
San Francisco,CA,37.7508987,-122.42738,San Francisco Police Department,Vehicle
Redlands,CA,34.04157,-117.15534,San Bernardino County Sheriff's Office,Vehicle
Bakersfield,CA,35.2937701,-119.0296,Bakersfield Police Department,Vehicle
Dinuba,CA,36.560198,-119.38836,Dinuba Police Department,Vehicle
Thermal,CA,33.5912841,-116.11243,Riverside County Sheriff's Department,Vehicle
Atherton,CA,37.4689228,-122.19247,San Mateo County Sheriff's Office,Vehicle
San Francisco,CA,37.7690371,-122.41084,San Francisco Police Department,Vehicle
Oakland,CA,37.8271372,-122.26909,Oakland Police Department,Vehicle
Yolo,CA,38.7308049,-121.81079,Yolo County Sheriff's Office,Vehicle
San Jose,CA,37.3208105,-121.96982,San Jose Police Department,Vehicle
San Jose,CA,37.3204833,-121.97264,San Jose Police Department,Vehicle
West Covina,CA,34.0754342,-117.89893,West Covina Police Department,Vehicle
Selma,CA,36.5470727,-119.61986,Selma Police Department,Vehicle
Santa Maria,CA,34.9207318,-120.43594,Santa Barbara County Sheriff's Office,Vehicle
Vallejo,CA,38.1419522,-122.24983,American Canyon Police Department,Vehicle
National City,CA,32.6820277,-117.08208,San Diego Police Department,Vehicle
South El Monte,CA,34.036267,-118.03856,El Monte Police Department,Vehicle
South El Monte,CA,34.036267,-118.03856,El Monte Police Department,Vehicle
Pittsburg,CA,38.0151673,-121.89018,California Highway Patrol,Vehicle
Gilroy,CA,37.0251691,-121.58169,Gilroy Police Department,Vehicle
Pittsburg,CA,38.0137208,-121.84247,California Highway Patrol,Vehicle
Exeter,CA,36.2973449,-119.15404,Exeter Police Department,Vehicle
Brentwood,CA,37.9366439,-121.69669,Oakley Police Department,Vehicle
Fresno,CA,36.8198309,-119.91648,California Highway Patrol,Vehicle
Santa Fe Springs,CA,33.9354753,-118.06407,Whittier Police Department,Vehicle
Oceanside,CA,33.2017765,-117.34282,"San Diego County Sheriff's Office, California Highway Patrol",Vehicle
Bakersfield,CA,35.4306992,-119.07452,California Highway Patrol,Vehicle
Lodi,CA,38.1456399,-121.3344,Lodi Police Department,Vehicle
Lodi,CA,38.1456399,-121.3344,Lodi Police Department,Vehicle
Visalia,CA,36.3346491,-119.30871,Visalia Police Department,Vehicle
Magalia,CA,39.777721,-121.59063,"Paradise Police Department, Butte County Sheriff's Office",Vehicle
Magalia,CA,39.777721,-121.59063,"Paradise Police Department, Butte County Sheriff's Office",Vehicle
Long Beach,CA,33.7608137,-118.15047,Long Beach Police Department,Vehicle
San Jose,CA,37.3183119,-121.83959,Santa Clara County Sheriff's Office,Vehicle
Carlsbad,CA,33.1366511,-117.27324,Carlsbad Police Department,Vehicle
Corte Madera,CA,37.9145161,-122.51212,California Highway Patrol,Vehicle
Martinez,CA,37.9828365,-122.0948,Martinez Police Department,Vehicle
Moreno Valley,CA,33.9245084,-117.26486,Riverside County Sheriff's Department,Vehicle
Oceanside,CA,33.2370212,-117.29269,Oceanside Police Department,Vehicle
Hayward,CA,37.6328523,-122.11046,Alameda County Sheriff's Office,Vehicle
Monterey Park,CA,34.0335875,-118.12957,Monterey Park Police Department,Vehicle
Vacaville,CA,38.3717555,-121.95441,Vacaville Police Department,Vehicle
Escondido,CA,33.1250797,-117.08997,Escondido Police Department,Vehicle
Dixon,CA,38.3530189,-121.99153,California Highway Patrol,Vehicle
San Jose,CA,37.3382082,-121.88633,San Jose Police Department,Vehicle
Oxnard,CA,34.1766046,-119.23296,Oxnard Police Department,Vehicle
Oakland,CA,37.7568289,-122.20075,Alameda County Sheriff's Office,Vehicle
Oakland,CA,37.7568289,-122.20075,Alameda County Sheriff's Office,Vehicle
Oakland,CA,37.7556121,-122.16137,Oakland Police Department,Vehicle
Oakland,CA,37.7556121,-122.16137,Oakland Police Department,Vehicle
Holtville,CA,32.816545,-115.37267,U.S. Customs and Border Protection,Vehicle
Holtville,CA,32.816545,-115.37267,U.S. Customs and Border Protection,Vehicle
Newport Beach,CA,33.6194092,-117.9179,Newport Beach Police Department,Vehicle
Novato,CA,38.0551748,-122.52525,Novato Police Department,Vehicle
Oakland,CA,37.83013,-122.27101,"Oakland Police Department, California Highway Patrol",Vehicle
Oakland,CA,37.83013,-122.27101,"Oakland Police Department, California Highway Patrol",Vehicle
Bakersfield,CA,35.3706356,-118.93195,Bakersfield Police Department,Vehicle
San Leandro,CA,37.7114987,-122.16727,California Highway Patrol,Vehicle
Ontario,CA,34.0610913,-117.65593,Ontario Police Department,Vehicle
West Hollywood,CA,34.0907945,-118.36157,Los Angeles Police Department,Vehicle
Oakland,CA,37.7415252,-122.19621,Oakland Police Department,Vehicle
Arcadia,CA,34.1500792,-118.05018,Irwindale Police Department,Vehicle
Anaheim,CA,33.8545031,-117.90669,Fullerton Police Department,Vehicle
Anaheim,CA,33.8545031,-117.90669,Fullerton Police Department,Vehicle
Anaheim,CA,33.8545031,-117.90669,Fullerton Police Department,Vehicle
Stockton,CA,37.9266624,-121.29982,Stockton Police Department,Vehicle
San Miguel,CA,35.7732118,-120.70872,California Highway Patrol,Vehicle
Pasadena,CA,34.1421126,-118.0987,Arcadia Police Department,Vehicle
San Francisco,CA,37.7080329,-122.46868,San Francisco Police Department,Vehicle
San Francisco,CA,37.7080329,-122.46868,San Francisco Police Department,Vehicle
Palm Springs,CA,33.8086472,-116.51802,Palm Springs Police Department,Vehicle
San Jose,CA,37.3862876,-121.86083,Santa Clara County Sheriff's Office,Vehicle
McFarland,CA,35.7177584,-119.27639,Delano Police Department,Vehicle
Birds Landing,CA,38.1835844,-121.80619,Rio Vista Police Department,Vehicle
Oakland,CA,37.7984906,-122.20878,California Highway Patrol,Vehicle
Lost Hills,CA,35.7310044,-119.95701,California Highway Patrol,Vehicle
San Luis Obispo,CA,35.1961267,-120.70058,California Highway Patrol,Vehicle
San Luis Obispo,CA,35.1961267,-120.70058,California Highway Patrol,Vehicle
Carson,CA,33.8620792,-118.28351,Los Angeles County Sheriff's Department,Vehicle
Castaic,CA,34.4704299,-118.61663,Kern County Sheriff's Office,Vehicle
Turlock,CA,37.4708973,-120.86724,Turlock Police Department,Vehicle
Mira Loma,CA,34.0061093,-117.50286,California Highway Patrol,Vehicle
Mira Loma,CA,34.0061093,-117.50286,California Highway Patrol,Vehicle
Mira Loma,CA,34.0061093,-117.50286,California Highway Patrol,Vehicle
Santa Cruz,CA,36.9905665,-122.02145,Capitola Police Department,Vehicle
Long Beach,CA,33.8105958,-118.12536,Los Angeles County Sheriff's Department,Vehicle
Palmdale,CA,34.5799156,-118.04063,Los Angeles County Sheriff's Department,Vehicle
Indio,CA,33.7161645,-116.23376,Indio Police Department,Vehicle
Elk Grove,CA,38.3793683,-121.43151,Sacramento Police Department,Vehicle
Lindsay,CA,36.2108099,-119.1272,Porterville Police Department,Vehicle
Lindsay,CA,36.2108099,-119.1272,Porterville Police Department,Vehicle
Santa Clara,CA,37.3637582,-121.98127,Santa Clara Police Department,Vehicle
Torrance,CA,33.8193438,-118.31594,Hawthorne Police Department,Vehicle
Ontario,CA,34.0744702,-117.57587,San Bernardino County Sheriff's Office,Vehicle
Modesto,CA,37.6382428,-120.98892,Stanislaus County Sheriff's Office,Vehicle
Desert Center,CA,33.7106875,-115.40031,U.S. Border Patrol,Vehicle
Mission Viejo,CA,33.6092001,-117.66264,Orange County Sheriff's Department,Vehicle
