#CRS: PROJCRS["NAD83 / UTM zone 19N",BASEGEOGCRS["NAD83",DATUM["North American Datum 1983",ELLIPSOID["GRS 1980",6378137,298.257222101,LENGTHUNIT["metre",1]]],PRIMEM["Greenwich",0,ANGLEUNIT["degree",0.0174532925199433]],ID["EPSG",4269]],CONVERSION["UTM zone 19N",METHOD["Transverse Mercator",ID["EPSG",9807]],PARAMETER["Latitude of natural origin",0,ANGLEUNIT["degree",0.0174532925199433],ID["EPSG",8801]],PARAMETER["Longitude of natural origin",-69,ANGLEUNIT["degree",0.0174532925199433],ID["EPSG",8802]],PARAMETER["Scale factor at natural origin",0.9996,SCALEUNIT["unity",1],ID["EPSG",8805]],PARAMETER["False easting",500000,LENGTHUNIT["metre",1],ID["EPSG",8806]],PARAMETER["False northing",0,LENGTHUNIT["metre",1],ID["EPSG",8807]]],CS[Cartesian,2],AXIS["(E)",east,ORDER[1],LENGTHUNIT["metre",1]],AXIS["(N)",north,ORDER[2],LENGTHUNIT["metre",1]],USAGE[SCOPE["Engineering survey, topographic mapping."],AREA["North America - between 72°„W and 66°„W - onshore and offshore. Canada - Labrador; New Brunswick; Nova Scotia; Nunavut; Quebec. Puerto Rico. United States (USA) - Connecticut; Maine; Massachusetts; New Hampshire; New York (Long Island); Rhode Island; Vermont."],BBOX[14.92,-72,84,-66]],ID["EPSG",26919]]
mapX,mapY,sourceX,sourceY,enable,dX,dY,residual
329338.20475555508164689,4691314.5325641818344593,3848.7080965909049155,4276.05539772727115633,1,2.70805487774759968,1.42340827675525361,3.05935489004265859
329560.59885006007971242,4691377.59954620618373156,4175.61292613635941962,4388.23721590908917278,1,-2.70699840993438556,-0.15049284663018625,2.71117843165553163
329589.05012014601379633,4691386.60911506693810225,4214.17542613635941962,4407.51846590908917278,1,-0.2293769629786766,3.19830075135359948,3.20651547435129647
329454.85496290738228709,4690948.45955574326217175,4059.04900568181392373,3752.83238636363466867,1,-1.41989510508710737,3.49747832538105285,3.77471280310973878
329700.48426131583983079,4691018.16516745369881392,4418.38139204545041139,3874.65482954545313987,1,-5.67868610208734026,-0.39332821639482063,5.69229153609091298
329737.4709124275832437,4691002.04278107173740864,4469.2137784090864443,3854.49715909090718924,1,-0.53793014997245336,-0.47085999992941652,0.71489718546299807
329950.85543807200156152,4690980.7043285071849823,4783.84872159090446075,3845.73295454545313987,1,1.00000654078212392,1.5706989624027301,1.86201726954935709
329140.4684284579125233,4691245.77532814163714647,3558.61292613635896487,4145.46874999999909051,1,8.15260526951851716,-9.43333697747675615,12.4680719925420469
329264.23145333171123639,4690876.38300485908985138,3782.10014204544995664,3613.48153409090809873,1,1.66302222226795493,-11.94116988521636813,12.05641659612653527
328954.32249438518192619,4691189.37977334950119257,3295.43566622577463932,4045.84129040299467306,1,2.57964746631887465,-8.55876582732162206,8.93907453472750468
329082.84460155171109363,4690809.07715589739382267,3524.10684744667923951,3516.94195968797794194,1,-1.05982249423550456,7.55402627424291495,7.62801000728498391
328778.42705078859580681,4691126.65396677982062101,3056.06075609793288095,3946.18438154707928334,1,-11.10791019116140887,0.58028933140440131,11.12305733703864696
328905.19458993920125067,4690753.369621392339468,3249.45820909938856857,3413.16213303087170061,1,17.28226263003534768,2.45306976099709573,17.4554906223180879
328598.14518715225858614,4691068.31458025053143501,2784.04645228287699865,3845.55481250567117968,1,0.9728152325933479,2.73903190424607601,2.90665877757323532
328726.66729431878775358,4690690.20517281908541918,3021.469341739948959,3303.09854189183170092,1,-11.62488012886842625,2.08070372687734562,11.80962175556868843
329123.64681289053987712,4691544.54029647167772055,3515.30749704903246311,4594.88971753643909324,1,-1.44056236874121169,3.7567209241378805,4.02345275106949174
329132.42918509262381122,4691678.71542733628302813,3511.39250097791591543,4790.63952109225465392,1,2.77041410755100515,2.02863693590370531,3.43373879976774088
329280.26578382740262896,4691963.16670477017760277,3706.35930531950862132,5219.72309048660463304,1,-1.32276643373961633,0.06558857927484496,1.32439152064618537
